burak odabaş

https://bbbmain5.uzep.org/playback/presentation/2.3/cf6b952dc33fbfd7e400658f0a5b9b351dddc3b6-1679581811777 | 4. Hafta | 23.03.2023
https://bbbmain5.uzep.org/playback/presentation/2.3/b0a0b43099839ea43cbaddbd1502ba990f2df8a5-1680186518796 | 5. Hafta | 30.03.2023
https://bbbvmain3.sakarya.edu.tr/playback/presentation/2.3/012fca94071fd672754d4649e38255189429dda5-1680791382006 | 6. Hafta | 06.04.2023
https://bbbmain5.uzep.org/playback/presentation/2.3/e33b117d3137f6f27e9e974220966f1ba0439884-1681396110138 | 7. Hafta | 13.04.2023
https://bbbvmain3.sakarya.edu.tr/playback/presentation/2.3/7717a8d6d0725e2b08b72aa6252338139c19c5cd-1683210617253 | 10. Hafta | 04.05.2023
https://bbbvmain3.sakarya.edu.tr/playback/presentation/2.3/78d07f5e48fefe90958baf11bf1f3e08e6925d2f-1683815470745 | 11. Hafta | 11.05.2023
https://bbbmain5.uzep.org/playback/presentation/2.3/3249540e5282da74e0cfc3a5497b1aaa4edb3613-1684420218502 | 12. Hafta | 18.05.2023
https://bbbmain5.uzep.org/playback/presentation/2.3/106b791ecbeab81df8956880fbfd16250c9e7fe0-1685024940908 | 13. Hafta | 25.05.2023
https://bbbmain5.uzep.org/playback/presentation/2.3/336298a249e70125b9709aaef9ea924ba7ea8fad-1685629755459 | 14. Hafta | 01.06.2023

